          TABLE NR. 1.1.1.3                    DLR-F4 WING/BODY

                     M =      0.800           RE = 3*10E6
              -1.600     0.282     0.023    -0.134     0.281     0.031
              -1.400     0.308     0.024    -0.134     0.307     0.031
              -1.200     0.334     0.025    -0.134     0.334     0.032
              -1.000     0.361     0.025    -0.134     0.361     0.032
              -0.800     0.389     0.026    -0.134     0.389     0.032
              -0.600     0.416     0.027    -0.134     0.416     0.032
              -0.400     0.442     0.028    -0.134     0.442     0.032
              -0.200     0.467     0.030    -0.133     0.467     0.032
               0.000     0.489     0.032    -0.132     0.489     0.032
               0.200     0.509     0.034    -0.129     0.509     0.032
               0.400     0.526     0.036    -0.126     0.527     0.033
               0.600     0.542     0.039    -0.123     0.543     0.033
               0.800     0.557     0.041    -0.119     0.557     0.033
               1.000     0.570     0.044    -0.115     0.571     0.034
               1.200     0.582     0.047    -0.112     0.583     0.034
               1.400     0.594     0.049    -0.108     0.595     0.035
               1.600     0.605     0.052    -0.103     0.606     0.035
               1.800     0.615     0.055    -0.099     0.616     0.036
               2.000     0.624     0.058    -0.095     0.626     0.037
               2.200     0.633     0.061    -0.091     0.635     0.037
               2.400     0.642     0.065    -0.087     0.644     0.038
               2.600     0.650     0.068    -0.083     0.652     0.038
               2.800     0.657     0.071    -0.079     0.660     0.039
               3.000     0.665     0.074    -0.076     0.667     0.039
               3.200     0.672     0.077    -0.074     0.675     0.040
               3.400     0.680     0.081    -0.072     0.684     0.040
               3.600     0.690     0.084    -0.070     0.694     0.041
               3.800     0.701     0.088    -0.069     0.705     0.041
               4.000     0.712     0.092    -0.068     0.717     0.042
               4.200     0.725     0.095    -0.068     0.730     0.042
               4.400     0.738     0.099    -0.067     0.744     0.043
               4.600     0.751     0.104    -0.066     0.757     0.043
               4.800     0.762     0.108    -0.066     0.769     0.044
               5.000     0.772     0.112    -0.066     0.779     0.044
               5.200     0.779     0.116    -0.066     0.786     0.045
               5.400     0.783     0.120    -0.067     0.791     0.046
               5.600     0.787     0.124    -0.067     0.795     0.047
               5.800     0.790     0.128    -0.066     0.799     0.047
               6.000     0.793     0.132    -0.065     0.802     0.048
               6.200     0.796     0.135    -0.064     0.806     0.049
               6.400     0.801     0.139    -0.062     0.811     0.049
               6.600     0.805     0.143    -0.059     0.816     0.050
               6.800     0.810     0.147    -0.056     0.821     0.050
               7.000     0.814     0.151    -0.053     0.826     0.051
               7.200     0.818     0.155    -0.050     0.831     0.051
               7.400     0.822     0.159    -0.048     0.836     0.052
               7.600     0.827     0.163    -0.045     0.841     0.052
               7.800     0.832     0.168    -0.042     0.848     0.053
               8.000     0.838     0.172    -0.040     0.853     0.053
               8.200     0.842     0.176    -0.037     0.858     0.054
               8.400     0.845     0.180    -0.035     0.862     0.054
               8.600     0.848     0.184    -0.033     0.866     0.055
               8.800     0.852     0.188    -0.030     0.871     0.055
               9.000     0.855     0.192    -0.028     0.874     0.056
               9.200     0.857     0.196    -0.026     0.877     0.056
               9.400     0.858     0.199    -0.023     0.879     0.057
               9.600     0.858     0.203    -0.021     0.880     0.057
               9.800     0.855     0.205    -0.020     0.877     0.057
1
          TABLE NR. 1.2.2.3                    DLR-F4 BODY ALONE

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.200    -0.009     0.010    -0.090    -0.010     0.009
              -4.000    -0.009     0.010    -0.087    -0.010     0.009
              -3.800    -0.008     0.010    -0.084    -0.009     0.009
              -3.600    -0.008     0.010    -0.081    -0.008     0.009
              -3.400    -0.007     0.010    -0.078    -0.008     0.009
              -3.200    -0.007     0.010    -0.075    -0.007     0.009
              -3.000    -0.007     0.010    -0.072    -0.007     0.009
              -2.800    -0.006     0.010    -0.069    -0.007     0.009
              -2.600    -0.006     0.010    -0.066    -0.006     0.009
              -2.400    -0.005     0.010    -0.062    -0.006     0.009
              -2.200    -0.005     0.010    -0.059    -0.005     0.009
              -2.000    -0.004     0.009    -0.056    -0.005     0.009
              -1.800    -0.004     0.009    -0.052    -0.004     0.009
              -1.600    -0.004     0.009    -0.049    -0.004     0.009
              -1.400    -0.003     0.009    -0.046    -0.003     0.009
              -1.200    -0.003     0.009    -0.043    -0.003     0.009
              -1.000    -0.003     0.009    -0.039    -0.003     0.009
              -0.800    -0.002     0.009    -0.036    -0.003     0.009
              -0.600    -0.002     0.009    -0.032    -0.002     0.009
              -0.400    -0.002     0.009    -0.029    -0.002     0.009
              -0.200    -0.001     0.009    -0.025    -0.001     0.009
               0.000    -0.001     0.009    -0.022    -0.001     0.009
               0.200    -0.001     0.009    -0.019     0.000     0.009
               0.400     0.000     0.009    -0.015     0.000     0.009
               0.600     0.000     0.009    -0.012     0.000     0.009
               0.800     0.000     0.009    -0.008     0.000     0.009
               1.000     0.000     0.009    -0.004     0.000     0.009
               1.200     0.001     0.009    -0.001     0.001     0.009
               1.400     0.001     0.009     0.003     0.001     0.009
               1.600     0.001     0.009     0.007     0.002     0.009
               1.800     0.002     0.009     0.011     0.002     0.009
               2.000     0.002     0.009     0.015     0.002     0.009
               2.200     0.002     0.009     0.018     0.002     0.009
               2.400     0.002     0.009     0.022     0.002     0.009
               2.600     0.002     0.010     0.026     0.003     0.009
               2.800     0.003     0.010     0.029     0.003     0.009
               3.000     0.003     0.010     0.033     0.004     0.010
               3.200     0.003     0.010     0.037     0.004     0.010
               3.400     0.004     0.010     0.041     0.004     0.009
               3.600     0.004     0.010     0.044     0.004     0.009
               3.800     0.004     0.010     0.048     0.005     0.009
               4.000     0.004     0.010     0.052     0.005     0.009
               4.200     0.004     0.010     0.056     0.005     0.009
               4.400     0.005     0.010     0.060     0.006     0.010
               4.600     0.005     0.010     0.063     0.006     0.010
               4.800     0.005     0.010     0.067     0.006     0.010
               5.000     0.006     0.010     0.070     0.007     0.010
               5.200     0.006     0.010     0.074     0.007     0.010
               5.400     0.006     0.010     0.077     0.007     0.010
               5.600     0.006     0.010     0.081     0.007     0.010
               5.800     0.007     0.010     0.084     0.008     0.010
               6.000     0.007     0.010     0.087     0.008     0.010
               6.200     0.008     0.011     0.090     0.009     0.010
               6.400     0.008     0.011     0.094     0.009     0.010
               6.600     0.009     0.011     0.097     0.010     0.010
               6.800     0.009     0.011     0.100     0.010     0.010
               7.000     0.010     0.011     0.103     0.011     0.010
               7.200     0.010     0.011     0.106     0.012     0.010
               7.400     0.011     0.011     0.109     0.012     0.010
               7.600     0.012     0.011     0.111     0.013     0.010
               7.800     0.012     0.012     0.114     0.014     0.010
               8.000     0.013     0.012     0.117     0.014     0.010
               8.200     0.013     0.012     0.119     0.015     0.010
               8.400     0.014     0.012     0.122     0.016     0.010
               8.600     0.015     0.012     0.125     0.017     0.010
               8.800     0.016     0.012     0.127     0.017     0.010
               9.000     0.016     0.013     0.130     0.018     0.010
               9.200     0.017     0.013     0.132     0.019     0.010
1
          TABLE NR. 1.3.1.3                    DLR-F4 WING/BODY

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -3.237     0.077     0.021    -0.151     0.075     0.025
              -3.675     0.022     0.021    -0.151     0.020     0.022
              -3.049     0.101     0.021    -0.151     0.099     0.026
              -2.548     0.163     0.021    -0.150     0.162     0.028
              -2.023     0.227     0.022    -0.149     0.226     0.030
              -1.280     0.322     0.024    -0.147     0.321     0.031
              -0.910     0.372     0.025    -0.147     0.371     0.031
              -0.652     0.408     0.027    -0.147     0.407     0.031
              -0.390     0.439     0.028    -0.146     0.439     0.031
              -0.143     0.468     0.031    -0.144     0.467     0.032
               0.097     0.490     0.033    -0.142     0.490     0.032
               0.335     0.512     0.036    -0.138     0.512     0.033
               0.571     0.532     0.038    -0.134     0.532     0.033
               0.815     0.550     0.042    -0.130     0.551     0.034
               1.023     0.565     0.044    -0.126     0.566     0.034
               1.252     0.580     0.048    -0.122     0.581     0.035
               1.477     0.593     0.051    -0.117     0.594     0.036
               1.478     0.593     0.051    -0.117     0.594     0.036
               1.478     0.594     0.051    -0.118     0.595     0.036
               1.478     0.594     0.051    -0.117     0.595     0.036
               1.478     0.593     0.051    -0.117     0.594     0.036
               1.477     0.592     0.051    -0.117     0.593     0.036
               1.477     0.593     0.051    -0.117     0.594     0.036
               1.477     0.593     0.051    -0.117     0.594     0.036
               1.712     0.605     0.054    -0.113     0.607     0.036
               1.933     0.615     0.057    -0.108     0.616     0.037
               2.143     0.624     0.061    -0.104     0.626     0.037
               2.363     0.634     0.064    -0.099     0.636     0.038
               2.363     0.634     0.064    -0.100     0.636     0.038
               2.482     0.638     0.066    -0.098     0.641     0.038
1
          TABLE NR. 1.3.2.3                    DLR-F4 BODY ALONE

                     M =      0.800           RE = 3*10E6

                ALFA      CL        CD        CM        CN        CT

              -4.141    -0.012     0.009    -0.093    -0.012     0.008
              -3.121    -0.009     0.009    -0.078    -0.010     0.008
              -2.102    -0.007     0.009    -0.063    -0.007     0.008
              -1.082    -0.005     0.009    -0.046    -0.005     0.008
              -0.051    -0.003     0.008    -0.029    -0.003     0.008
               0.970    -0.002     0.008    -0.011    -0.002     0.008
               1.992     0.000     0.008     0.008     0.000     0.008
               3.012     0.001     0.008     0.026     0.001     0.008
               4.034     0.002     0.008     0.045     0.003     0.008
